header	source	subtype	strain	num_repeats	segment
blasthit|H4N6|A/mallard_duck/Netherlands/21/2014|2014-08-26	blasthit	H4N6	A/mallard_duck/Netherlands/21/2014	2	seg-1
blasthit|H4N8|A/pintail_duck/ALB/220/1977|1977-09-02	blasthit	H4N8	A/pintail_duck/ALB/220/1977	2	seg-1
blasthit|H2N9|A/pintail/Alberta/293/1977|1977-09-03	blasthit	H2N9	A/pintail/Alberta/293/1977	2	seg-1
blasthit|H3N2|A/mallard/Ohio/424/1988|1988--	blasthit	H3N2	A/mallard/Ohio/424/1988	2	seg-1
blasthit|H4N6|A/American_black_duck/New_Brunswick/03552/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03552/2009	2	seg-1
blasthit|H5N1|A/mallard/Italy/3401/2005|2005--	blasthit	H5N1	A/mallard/Italy/3401/2005	2	seg-1
blasthit|H1N1|A/San_Diego/INS49/2009|2009-11-05	blasthit	H1N1	A/San_Diego/INS49/2009	2	seg-1
blasthit|H1N1|A/San_Diego/INS65/2009|2009-10-28	blasthit	H1N1	A/San_Diego/INS65/2009	2	seg-1
blasthit|H4N3|A/mallard/Alberta/300/1977|1977-08-30	blasthit	H4N3	A/mallard/Alberta/300/1977	2	seg-1
blasthit|H1N1|A/Vermont/01/2010|2010-02-04	blasthit	H1N1	A/Vermont/01/2010	2	seg-1
blasthit|H7N3|A/mallard_duck/Netherlands/24/2014|2014-09-30	blasthit	H7N3	A/mallard_duck/Netherlands/24/2014	2	seg-1
blasthit|H6N5|A/mallard/Alberta/203/1992|1992-08-24	blasthit	H6N5	A/mallard/Alberta/203/1992	2	seg-1
blasthit|H1N1|A/mallard_duck/Georgia/11/2011|2011-01-22	blasthit	H1N1	A/mallard_duck/Georgia/11/2011	2	seg-1
blasthit|H6N1|A/duck/Minnesota/2/1975|1975--	blasthit	H6N1	A/duck/Minnesota/2/1975	2	seg-1
blasthit|H4N8|A/mallard_duck/ALB/210/1977|1977-08-30	blasthit	H4N8	A/mallard_duck/ALB/210/1977	2	seg-1
blasthit|H1N2|A/mallard_duck/New_York/170/1982|1982-12-01	blasthit	H1N2	A/mallard_duck/New_York/170/1982	2	seg-2
blasthit|H6N1|A/mallard_duck/Netherlands/10/2012|2012-09-05	blasthit	H6N1	A/mallard_duck/Netherlands/10/2012	2	seg-2
blasthit|H3N8|A/mallard/Wisconsin/2090/1984|1984--	blasthit	H3N8	A/mallard/Wisconsin/2090/1984	2	seg-2
blasthit|H4N6|A/mallard/Wisconsin/2304/1984|1984--	blasthit	H4N6	A/mallard/Wisconsin/2304/1984	2	seg-2
blasthit|H1N1|A/mallard/Wisconsin/683/1976|1976--	blasthit	H1N1	A/mallard/Wisconsin/683/1976	2	seg-2
blasthit|H4N6|A/American_black_duck/New_Brunswick/03552/2009|2009-09-11	blasthit	H4N6	A/American_black_duck/New_Brunswick/03552/2009	2	seg-2
blasthit|H5N1|A/mallard_duck/Netherlands/41/2015|2015-09-15	blasthit	H5N1	A/mallard_duck/Netherlands/41/2015	2	seg-2
blasthit|H3N8|A/mallard/Wisconsin/471/1976|1976--	blasthit	H3N8	A/mallard/Wisconsin/471/1976	2	seg-2
blasthit|H4N6|A/mallard_duck/ALB/161/1977|1977-09-03	blasthit	H4N6	A/mallard_duck/ALB/161/1977	2	seg-2
blasthit|H10N7|A/ruddy_turnstone/New_Jersey/146/1990|1990-05-26	blasthit	H10N7	A/ruddy_turnstone/New_Jersey/146/1990	2	seg-2
